epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,136.909,0.81346,0.6231,0.93309,0.46633,0.42675,0.37596,0.24108,1.45136,1.5819,1.32601,0.000459924,0.000459924,0.000459924
139,137.883,0.77714,0.59796,0.91699,0.48722,0.42041,0.38834,0.24609,1.44707,1.58111,1.32667,0.00045285,0.00045285,0.00045285
140,138.868,0.78555,0.59069,0.91825,0.46271,0.45171,0.39151,0.24905,1.41235,1.56076,1.32177,0.000445777,0.000445777,0.000445777
141,139.786,0.77358,0.61385,0.94132,0.46428,0.44571,0.39559,0.25057,1.39732,1.57891,1.31457,0.000438703,0.000438703,0.000438703
142,140.825,0.77854,0.61193,0.93867,0.48509,0.44974,0.38666,0.24486,1.36814,1.60609,1.30583,0.000431629,0.000431629,0.000431629
143,141.773,0.77963,0.59386,0.92859,0.52013,0.43773,0.39487,0.25261,1.37044,1.56553,1.3101,0.000424556,0.000424556,0.000424556
144,142.756,0.78365,0.61851,0.94379,0.48412,0.43662,0.39513,0.25204,1.39732,1.4879,1.3245,0.000417482,0.000417482,0.000417482
145,143.734,0.78264,0.60155,0.92687,0.47912,0.43901,0.39064,0.25129,1.40451,1.47897,1.33521,0.000410409,0.000410409,0.000410409
146,144.694,0.78053,0.60466,0.93586,0.45577,0.43314,0.38054,0.24573,1.39949,1.50823,1.31491,0.000403335,0.000403335,0.000403335
147,145.637,0.82305,0.62817,0.94777,0.49257,0.42685,0.37011,0.23692,1.37777,1.51943,1.29148,0.000396262,0.000396262,0.000396262
148,146.624,0.78929,0.60932,0.94023,0.44785,0.44615,0.3647,0.23688,1.36788,1.53622,1.28059,0.000389188,0.000389188,0.000389188
149,147.597,0.75479,0.59177,0.92179,0.45407,0.45902,0.36648,0.2364,1.36653,1.53543,1.28159,0.000382115,0.000382115,0.000382115
150,148.596,0.7856,0.60612,0.93331,0.44015,0.46981,0.37455,0.2442,1.36313,1.53588,1.29642,0.000375041,0.000375041,0.000375041
151,149.563,0.77547,0.59386,0.91892,0.45186,0.46836,0.3721,0.24369,1.38445,1.52901,1.31935,0.000367967,0.000367967,0.000367967
